datetime,count
2016-12-10,160
2016-12-11,65
2016-12-12,181
2016-12-13,117
2016-12-14,126
2016-12-15,221
2016-12-16,244
2016-12-17,149
2016-12-18,169
2016-12-19,144
2016-12-20,45
2016-12-21,201
2016-12-22,129
2016-12-23,281
2016-12-24,341
2016-12-25,98
2016-12-26,189
2016-12-27,180
2016-12-28,267
2016-12-29,340
2016-12-30,403
2016-12-31,352
2017-01-01,114
2017-01-02,196
2017-01-03,210
2017-01-04,181
2017-01-05,387
2017-01-06,291
2017-01-07,202
2017-01-08,161
2017-01-09,200
2017-01-10,354
2017-01-11,238
2017-01-12,231
2017-01-13,381
2017-01-14,295
2017-01-15,141
2017-01-16,159
2017-01-17,234
2017-01-18,169
2017-01-19,118
2017-01-20,390
2017-01-21,175
2017-01-22,194
2017-01-23,200
2017-01-24,52
2017-01-25,172
2017-01-26,159
2017-01-27,346
2017-01-28,171
2017-01-29,246
2017-01-30,339
2017-01-31,121
2017-02-01,180
2017-02-02,230
2017-02-03,336
2017-02-04,186
2017-02-05,232
2017-02-06,155
2017-02-07,235
2017-02-08,212
2017-02-09,221
2017-02-10,417
2017-02-11,266
2017-02-12,242
2017-02-13,177
2017-02-14,271
2017-02-15,353
2017-02-16,195
2017-02-17,438
2017-02-18,274
2017-02-19,172
2017-02-20,201
2017-02-21,219
2017-02-22,154
2017-02-23,268
2017-02-24,188
2017-02-25,121
2017-02-26,202
2017-02-27,214
2017-02-28,110
2017-03-01,254
2017-03-02,175
2017-03-03,329
2017-03-04,247
2017-03-05,191
2017-03-06,302
2017-03-07,270
2017-03-08,262
2017-03-09,338
2017-03-10,343
2017-03-11,166
2017-03-12,277
2017-03-13,372
2017-03-14,356
2017-03-15,277
2017-03-16,355
2017-03-17,431
2017-03-18,143
2017-03-19,171
2017-03-20,291
2017-03-21,346
2017-03-22,415
2017-03-23,466
2017-03-24,550
2017-03-25,185
2017-03-26,162
2017-03-27,467
2017-03-28,341
2017-03-29,437
2017-03-30,304
2017-03-31,613
2017-04-01,299
2017-04-02,321
2017-04-03,252
2017-04-04,305
2017-04-05,322
2017-04-06,212
2017-04-07,466
2017-04-08,234
2017-04-09,390
